!	{"ud.punct": 1.0}
!!	{"ud.punct": 1.0}
!!!	{"ud.punct": 1.0}
!!!!	{"ud.punct": 1.0}
!!!!!	{"ud.punct": 1.0}
!!!!!!	{"ud.punct": 1.0}
!!!!!!!	{"ud.punct": 1.0}
!?	{"ud.punct": 1.0}
"	{"ud.punct": 0.9969135802469136, "ud.noun": 0.0030864197530864196}
searching	{"ud.verb": 0.8, "ud.noun": 0.2}
seas	{"ud.noun": 0.1, "ud.propn": 0.9}
season	{"ud.noun": 1.0}
seat	{"ud.noun": 0.8, "ud.verb": 0.2}
seats	{"ud.noun": 1.0}
seattle	{"ud.propn": 1.0}
second	{"ud.adj": 0.7592592592592593, "ud.adv": 0.14814814814814814, "ud.noun": 0.037037037037037035, "ud.propn": 0.05555555555555555}
secondly	{"ud.adv": 1.0}
seconds	{"ud.noun": 1.0}
secret	{"ud.adj": 0.6, "ud.noun": 0.4}
secretary	{"ud.propn": 0.625, "ud.noun": 0.375}
secretive	{"ud.adj": 1.0}
sect	{"ud.noun": 1.0}
section	{"ud.noun": 1.0}
sections	{"ud.noun": 1.0}
sector	{"ud.noun": 1.0}
secure	{"ud.verb": 0.6, "ud.adj": 0.4}
securities	{"ud.propn": 0.8, "ud.noun": 0.2}
security	{"ud.propn": 0.18518518518518517, "ud.noun": 0.8148148148148148}
see	{"ud.verb": 1.0}
seed	{"ud.noun": 1.0}
seeing	{"ud.verb": 1.0}
seek	{"ud.verb": 1.0}
seeking	{"ud.verb": 1.0}
seem	{"ud.verb": 1.0}
seemed	{"ud.verb": 1.0}
seems	{"ud.verb": 1.0}
seen	{"ud.verb": 1.0}
sees	{"ud.verb": 1.0}
seized	{"ud.verb": 1.0}
seldom	{"ud.adv": 1.0}
select	{"ud.verb": 0.75, "ud.propn": 0.08333333333333333, "ud.adj": 0.16666666666666666}
selection	{"ud.noun": 1.0}
self	{"ud.noun": 0.8235294117647058, "ud.pron": 0.17647058823529413}
sell	{"ud.verb": 1.0}
selling	{"ud.verb": 1.0}
senate	{"ud.propn": 0.9285714285714286, "ud.noun": 0.07142857142857142}
senator	{"ud.propn": 0.6, "ud.noun": 0.4}
senators	{"ud.propn": 0.6666666666666666, "ud.noun": 0.3333333333333333}
send	{"ud.verb": 0.9833333333333333, "ud.noun": 0.016666666666666666}
sender	{"ud.noun": 1.0}
sending	{"ud.verb": 1.0}
sends	{"ud.verb": 1.0}
senior	{"ud.adj": 0.9473684210526315, "ud.propn": 0.05263157894736842}
sense	{"ud.noun": 0.95, "ud.verb": 0.05}
sensor	{"ud.noun": 1.0}
sent	{"ud.verb": 1.0}
sentence	{"ud.noun": 1.0}
seoul	{"ud.propn": 1.0}
separate	{"ud.adj": 0.7368421052631579, "ud.verb": 0.2631578947368421}
separated	{"ud.verb": 1.0}
separately	{"ud.adv": 1.0}
seperate	{"ud.adj": 1.0}
sept.	{"ud.propn": 1.0}
september	{"ud.propn": 1.0}
series	{"ud.noun": 0.8333333333333334, "ud.propn": 0.16666666666666666}
serious	{"ud.adj": 0.9444444444444444, "ud.adv": 0.05555555555555555}
seriously	{"ud.adv": 1.0}
serve	{"ud.verb": 1.0}
served	{"ud.verb": 1.0}
server	{"ud.noun": 1.0}
serves	{"ud.verb": 1.0}
service	{"ud.noun": 0.9487179487179487, "ud.propn": 0.05128205128205128}
services	{"ud.noun": 0.9148936170212766, "ud.propn": 0.0851063829787234}
serving	{"ud.verb": 0.75, "ud.noun": 0.25}
session	{"ud.noun": 1.0}
set	{"ud.verb": 0.6481481481481481, "ud.noun": 0.14814814814814814, "ud.adj": 0.2037037037037037}
setoff	{"ud.noun": 1.0}
sets	{"ud.noun": 0.4, "ud.verb": 0.6}
setting	{"ud.verb": 0.8333333333333334, "ud.noun": 0.16666666666666666}
settle	{"ud.verb": 1.0}
settled	{"ud.verb": 0.8888888888888888, "ud.adj": 0.1111111111111111}
settlement	{"ud.noun": 0.9615384615384616, "ud.x": 0.038461538461538464}
seven	{"ud.propn": 0.2, "ud.num": 0.8}
several	{"ud.adj": 1.0}
severe	{"ud.adj": 1.0}
sex	{"ud.noun": 1.0}
sexual	{"ud.adj": 1.0}
sf	{"ud.propn": 1.0}
sha'lan	{"ud.propn": 1.0}
shackleton	{"ud.propn": 1.0}
shackleton@ect	{"ud.x": 1.0}
shadow	{"ud.verb": 0.3333333333333333, "ud.noun": 0.6666666666666666}
shady	{"ud.adj": 0.2, "ud.propn": 0.8}
shaikh	{"ud.propn": 1.0}
shall	{"ud.aux": 1.0}
shame	{"ud.noun": 1.0}
shanna	{"ud.propn": 1.0}
shape	{"ud.noun": 0.8571428571428571, "ud.verb": 0.14285714285714285}
share	{"ud.noun": 0.16666666666666666, "ud.verb": 0.8333333333333334}
shared	{"ud.verb": 1.0}
shares	{"ud.noun": 1.0}
sharing	{"ud.verb": 1.0}
sharon	{"ud.propn": 1.0}
sharp	{"ud.adj": 0.6666666666666666, "ud.adv": 0.3333333333333333}
she	{"ud.pron": 1.0}
shed	{"ud.noun": 0.25, "ud.verb": 0.75}
sheds	{"ud.noun": 1.0}
sheet	{"ud.noun": 1.0}
sheik	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
sheikh	{"ud.propn": 1.0}
shell	{"ud.propn": 0.2, "ud.noun": 0.4, "ud.verb": 0.4}
shelter	{"ud.noun": 1.0}
shepherd	{"ud.noun": 1.0}
sheriff	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
shi'ite	{"ud.adj": 1.0}
shia	{"ud.adj": 0.2857142857142857, "ud.propn": 0.7142857142857143}
shiite	{"ud.adj": 1.0}
shiites	{"ud.propn": 1.0}
shindand	{"ud.propn": 1.0}
ship	{"ud.verb": 0.06666666666666667, "ud.noun": 0.9333333333333333}
shipment	{"ud.noun": 1.0}
shipped	{"ud.verb": 1.0}
shippers	{"ud.noun": 1.0}
ships	{"ud.noun": 1.0}
shit	{"ud.noun": 1.0}
shocked	{"ud.adj": 1.0}
shoe	{"ud.noun": 1.0}
shoes	{"ud.verb": 0.3333333333333333, "ud.noun": 0.6666666666666666}
shoot	{"ud.verb": 0.8333333333333334, "ud.noun": 0.16666666666666666}
shooting	{"ud.verb": 0.8571428571428571, "ud.noun": 0.14285714285714285}
shop	{"ud.noun": 0.7916666666666666, "ud.verb": 0.20833333333333334}
shopping	{"ud.noun": 0.6666666666666666, "ud.propn": 0.1111111111111111, "ud.verb": 0.2222222222222222}
shops	{"ud.noun": 1.0}
short	{"ud.adj": 0.9393939393939394, "ud.adv": 0.030303030303030304, "ud.propn": 0.030303030303030304}
shortly	{"ud.adv": 1.0}
shot	{"ud.noun": 0.8, "ud.verb": 0.2}
shots	{"ud.noun": 1.0}
should	{"ud.aux": 1.0}
shoulder	{"ud.verb": 0.16666666666666666, "ud.noun": 0.8333333333333334}
show	{"ud.verb": 0.76, "ud.noun": 0.24}
showed	{"ud.verb": 1.0}
shower	{"ud.noun": 0.9090909090909091, "ud.verb": 0.09090909090909091}
showing	{"ud.verb": 1.0}
shown	{"ud.verb": 1.0}
shows	{"ud.verb": 0.5, "ud.noun": 0.5}
shrimp	{"ud.noun": 1.0}
shut	{"ud.adj": 0.2857142857142857, "ud.verb": 0.7142857142857143}
shuttle	{"ud.noun": 1.0}
sicily	{"ud.propn": 1.0}
sick	{"ud.adj": 0.9090909090909091, "ud.noun": 0.09090909090909091}
siddiqui	{"ud.propn": 1.0}
side	{"ud.noun": 0.90625, "ud.verb": 0.03125, "ud.adj": 0.03125, "ud.adp": 0.03125}
sides	{"ud.noun": 1.0}
sight	{"ud.noun": 0.8333333333333334, "ud.adj": 0.16666666666666666}
sights	{"ud.noun": 1.0}
sign	{"ud.noun": 0.44, "ud.verb": 0.56}
signal	{"ud.verb": 0.3333333333333333, "ud.noun": 0.6666666666666666}
signature	{"ud.noun": 1.0}
signed	{"ud.verb": 1.0}
significant	{"ud.adj": 1.0}
significantly	{"ud.adv": 1.0}
signing	{"ud.noun": 0.5555555555555556, "ud.verb": 0.4444444444444444}
signoff	{"ud.noun": 1.0}
signs	{"ud.noun": 0.8125, "ud.verb": 0.0625, "ud.propn": 0.125}
silent	{"ud.adj": 0.8, "ud.propn": 0.2}
silk	{"ud.noun": 0.6666666666666666, "ud.adj": 0.3333333333333333}
silkie	{"ud.noun": 1.0}
silkies	{"ud.noun": 1.0}
silver	{"ud.noun": 0.5, "ud.adj": 0.5}
similar	{"ud.adj": 1.0}
simple	{"ud.adj": 1.0}
simply	{"ud.adv": 1.0}
simultaneously	{"ud.adv": 1.0}
since	{"ud.adp": 0.2698412698412698, "ud.sconj": 0.6904761904761905, "ud.adv": 0.03968253968253968}
sincerely	{"ud.adv": 1.0}
singapore	{"ud.propn": 1.0}
single	{"ud.adj": 0.8695652173913043, "ud.verb": 0.08695652173913043, "ud.noun": 0.043478260869565216}
sinh	{"ud.propn": 1.0}
sinhalese	{"ud.adj": 1.0}
sink	{"ud.verb": 0.7777777777777778, "ud.noun": 0.2222222222222222}
sinking	{"ud.verb": 0.5, "ud.noun": 0.5}
sir	{"ud.noun": 0.2, "ud.propn": 0.8}
sistani	{"ud.propn": 1.0}
sister	{"ud.noun": 1.0}
sit	{"ud.verb": 0.9473684210526315, "ud.noun": 0.05263157894736842}
sitara	{"ud.propn": 1.0}
site	{"ud.noun": 1.0}
sites	{"ud.noun": 1.0}
sitting	{"ud.verb": 0.8571428571428571, "ud.noun": 0.07142857142857142, "ud.propn": 0.07142857142857142}
situation	{"ud.noun": 1.0}
situations	{"ud.noun": 1.0}
six	{"ud.num": 1.0}
size	{"ud.noun": 1.0}
sj	{"ud.noun": 1.0}
skies	{"ud.propn": 0.3333333333333333, "ud.noun": 0.6666666666666666}
skill	{"ud.noun": 1.0}
skilled	{"ud.adj": 0.625, "ud.verb": 0.125, "ud.propn": 0.25}
skills	{"ud.noun": 1.0}
skimmer	{"ud.noun": 1.0}
skin	{"ud.noun": 1.0}
skip	{"ud.verb": 1.0}
sky	{"ud.noun": 1.0}
sleep	{"ud.noun": 0.5625, "ud.verb": 0.4375}
sleeping	{"ud.noun": 0.6666666666666666, "ud.verb": 0.3333333333333333}
slept	{"ud.verb": 1.0}
slice	{"ud.noun": 1.0}
slight	{"ud.adj": 1.0}
slightly	{"ud.adv": 1.0}
slow	{"ud.adj": 0.6363636363636364, "ud.verb": 0.2727272727272727, "ud.adv": 0.09090909090909091}
slowly	{"ud.adv": 1.0}
small	{"ud.adj": 1.0}
smaller	{"ud.adj": 1.0}
smallest	{"ud.adj": 1.0}
smart	{"ud.adj": 0.9, "ud.propn": 0.1}
smell	{"ud.verb": 1.0}
smells	{"ud.noun": 0.3333333333333333, "ud.verb": 0.6666666666666666}
smile	{"ud.verb": 0.75, "ud.noun": 0.25}
smith	{"ud.propn": 1.0}
smoke	{"ud.verb": 0.3333333333333333, "ud.noun": 0.6666666666666666}
smoking	{"ud.verb": 0.3333333333333333, "ud.noun": 0.6666666666666666}
smooth	{"ud.adj": 0.8571428571428571, "ud.verb": 0.14285714285714285}
smoothly	{"ud.adv": 1.0}
smuggling	{"ud.verb": 0.5, "ud.noun": 0.5}
smutney	{"ud.propn": 1.0}
snack	{"ud.noun": 1.0}
snake	{"ud.propn": 0.04, "ud.noun": 0.96}
snakes	{"ud.noun": 1.0}
snap	{"ud.propn": 0.75, "ud.noun": 0.25}
so	{"ud.adv": 0.8682745825602969, "ud.sconj": 0.1280148423005566, "ud.x": 0.0037105751391465678}
soaking	{"ud.adj": 0.3333333333333333, "ud.verb": 0.3333333333333333, "ud.noun": 0.3333333333333333}
social	{"ud.adj": 0.9565217391304348, "ud.propn": 0.043478260869565216}
society	{"ud.propn": 0.0625, "ud.noun": 0.9375}
soda	{"ud.noun": 1.0}
soft	{"ud.adj": 0.8888888888888888, "ud.propn": 0.1111111111111111}
software	{"ud.noun": 0.875, "ud.propn": 0.125}
soil	{"ud.noun": 1.0}
solas	{"ud.propn": 1.0}
sold	{"ud.verb": 1.0}
soldier	{"ud.noun": 1.0}
soldiers	{"ud.noun": 0.9411764705882353, "ud.propn": 0.058823529411764705}
sole	{"ud.adj": 1.0}
solely	{"ud.adv": 1.0}
solid	{"ud.adj": 1.0}
solution	{"ud.noun": 1.0}
solutions	{"ud.noun": 1.0}
solve	{"ud.verb": 1.0}
solved	{"ud.verb": 1.0}
some	{"ud.det": 0.9915014164305949, "ud.adv": 0.0056657223796034, "ud.x": 0.0028328611898017}
somebody	{"ud.pron": 1.0}
somehow	{"ud.adv": 1.0}
someone	{"ud.pron": 1.0}
something	{"ud.pron": 1.0}
sometime	{"ud.adv": 1.0}
sometimes	{"ud.adv": 1.0}
somewhat	{"ud.adv": 1.0}
somewhere	{"ud.adv": 0.9411764705882353, "ud.noun": 0.058823529411764705}
sommer	{"ud.propn": 1.0}
son	{"ud.propn": 0.05555555555555555, "ud.noun": 0.9444444444444444}
song	{"ud.noun": 1.0}
songs	{"ud.noun": 1.0}
sons	{"ud.noun": 1.0}
sony	{"ud.propn": 1.0}
soon	{"ud.adv": 1.0}
sooner	{"ud.adv": 1.0}
sooners	{"ud.propn": 1.0}
sorry	{"ud.adj": 0.7647058823529411, "ud.intj": 0.23529411764705882}
sort	{"ud.noun": 0.7894736842105263, "ud.verb": 0.05263157894736842, "ud.adv": 0.15789473684210525}
sorts	{"ud.noun": 1.0}
sought	{"ud.verb": 1.0}
souls	{"ud.noun": 1.0}
sound	{"ud.verb": 0.5, "ud.noun": 0.4444444444444444, "ud.propn": 0.05555555555555555}
sounded	{"ud.verb": 1.0}
sounds	{"ud.verb": 0.8, "ud.noun": 0.2}
soup	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
sour	{"ud.adj": 0.6666666666666666, "ud.verb": 0.3333333333333333}
source	{"ud.noun": 1.0}
sources	{"ud.noun": 1.0}
south	{"ud.noun": 0.25, "ud.propn": 0.525, "ud.adv": 0.125, "ud.adj": 0.1}
southeast	{"ud.propn": 0.6, "ud.noun": 0.4}
southern	{"ud.adj": 0.7272727272727273, "ud.propn": 0.2727272727272727}
southwest	{"ud.propn": 1.0}
sovereignty	{"ud.noun": 1.0}
soviet	{"ud.propn": 1.0}
spa	{"ud.noun": 0.8, "ud.propn": 0.2}
space	{"ud.propn": 0.08, "ud.noun": 0.92}
spacecraft	{"ud.noun": 1.0}
spacious	{"ud.adj": 1.0}
spain	{"ud.propn": 1.0}
spanish	{"ud.adj": 1.0}
spare	{"ud.adj": 0.3333333333333333, "ud.noun": 0.6666666666666666}
spawn	{"ud.verb": 1.0}
spawning	{"ud.verb": 0.6666666666666666, "ud.noun": 0.3333333333333333}
spayed	{"ud.verb": 1.0}
speak	{"ud.verb": 0.9473684210526315, "ud.noun": 0.05263157894736842}
speaker	{"ud.noun": 1.0}
speaking	{"ud.verb": 1.0}
special	{"ud.adj": 0.96875, "ud.noun": 0.03125}
specialist	{"ud.noun": 0.9, "ud.adj": 0.1}
specialists	{"ud.noun": 1.0}
specials	{"ud.noun": 1.0}
species	{"ud.noun": 1.0}
specific	{"ud.adj": 1.0}
specifically	{"ud.adv": 1.0}
specifications	{"ud.noun": 1.0}
specified	{"ud.verb": 1.0}
spectacular	{"ud.adj": 1.0}
speech	{"ud.noun": 1.0}
speed	{"ud.verb": 0.25, "ud.noun": 0.75}
spelling	{"ud.noun": 1.0}
spend	{"ud.verb": 1.0}
spending	{"ud.verb": 0.5, "ud.noun": 0.5}
spent	{"ud.verb": 1.0}
spice	{"ud.noun": 0.6666666666666666, "ud.verb": 0.3333333333333333}
spicy	{"ud.adj": 1.0}
spikes	{"ud.noun": 1.0}
spin	{"ud.noun": 1.0}
spinal	{"ud.adj": 1.0}
spine	{"ud.noun": 1.0}
spirit	{"ud.noun": 0.8333333333333334, "ud.propn": 0.16666666666666666}
spiritual	{"ud.adj": 1.0}
spite	{"ud.noun": 1.0}
split	{"ud.verb": 0.7142857142857143, "ud.noun": 0.14285714285714285, "ud.propn": 0.14285714285714285}
spoke	{"ud.verb": 1.0}
spoken	{"ud.verb": 1.0}
spokesman	{"ud.noun": 1.0}
sponsored	{"ud.verb": 1.0}
spoon	{"ud.noun": 1.0}
spore	{"ud.noun": 1.0}
sports	{"ud.noun": 0.8, "ud.propn": 0.2}
spot	{"ud.propn": 0.0625, "ud.noun": 0.75, "ud.adv": 0.0625, "ud.verb": 0.0625, "ud.adj": 0.0625}
spots	{"ud.noun": 1.0}
spotted	{"ud.verb": 1.0}
spray	{"ud.noun": 0.75, "ud.verb": 0.25}
spread	{"ud.verb": 0.7, "ud.noun": 0.3}
spreadsheet	{"ud.noun": 1.0}
spring	{"ud.noun": 0.8888888888888888, "ud.propn": 0.1111111111111111}
springs	{"ud.noun": 0.75, "ud.propn": 0.25}
squadrons	{"ud.noun": 1.0}
square	{"ud.adj": 0.2, "ud.noun": 0.2, "ud.propn": 0.6}
sri	{"ud.propn": 0.8947368421052632, "ud.adj": 0.10526315789473684}
ss	{"ud.noun": 0.8333333333333334, "ud.propn": 0.16666666666666666}
st	{"ud.propn": 1.0}
st.	{"ud.propn": 1.0}
stabbed	{"ud.verb": 1.0}
stability	{"ud.noun": 1.0}
stabilization	{"ud.noun": 1.0}
stable	{"ud.adj": 0.6, "ud.noun": 0.4}
stadium	{"ud.noun": 1.0}
staff	{"ud.noun": 0.9759036144578314, "ud.propn": 0.024096385542168676}
stage	{"ud.verb": 0.14285714285714285, "ud.noun": 0.8571428571428571}
stages	{"ud.noun": 1.0}
stairs	{"ud.noun": 1.0}
stalls	{"ud.noun": 1.0}
stan	{"ud.propn": 1.0}
stand	{"ud.verb": 0.8666666666666667, "ud.noun": 0.13333333333333333}
standard	{"ud.adj": 0.5333333333333333, "ud.noun": 0.4, "ud.propn": 0.06666666666666667}
standards	{"ud.noun": 1.0}
standing	{"ud.verb": 0.6666666666666666, "ud.noun": 0.25, "ud.adj": 0.08333333333333333}
stands	{"ud.verb": 1.0}
stanford	{"ud.propn": 1.0}
star	{"ud.propn": 0.35294117647058826, "ud.noun": 0.6470588235294118}
starbucks	{"ud.propn": 1.0}
stark	{"ud.propn": 1.0}
stars	{"ud.noun": 1.0}
start	{"ud.verb": 0.7413793103448276, "ud.noun": 0.25862068965517243}
started	{"ud.verb": 1.0}
starting	{"ud.verb": 0.8333333333333334, "ud.noun": 0.16666666666666666}
starts	{"ud.noun": 0.2, "ud.verb": 0.8}
state	{"ud.noun": 0.7916666666666666, "ud.propn": 0.1527777777777778, "ud.verb": 0.05555555555555555}
stated	{"ud.verb": 1.0}
statement	{"ud.noun": 1.0}
statements	{"ud.noun": 1.0}
states	{"ud.propn": 0.8314606741573034, "ud.verb": 0.056179775280898875, "ud.noun": 0.11235955056179775}
station	{"ud.noun": 0.9047619047619048, "ud.propn": 0.09523809523809523}
statue	{"ud.noun": 1.0}
status	{"ud.noun": 1.0}
stay	{"ud.verb": 0.875, "ud.noun": 0.125}
stayed	{"ud.verb": 1.0}
staying	{"ud.verb": 1.0}
steak	{"ud.propn": 0.18181818181818182, "ud.noun": 0.8181818181818182}
steel	{"ud.noun": 0.8, "ud.propn": 0.2}
step	{"ud.noun": 0.7619047619047619, "ud.verb": 0.23809523809523808}
stephanie	{"ud.propn": 1.0}
stepped	{"ud.verb": 1.0}
stepping	{"ud.verb": 1.0}
steps	{"ud.noun": 1.0}
steve	{"ud.propn": 1.0}
steven	{"ud.propn": 1.0}
stick	{"ud.verb": 0.8, "ud.noun": 0.2}
sticks	{"ud.verb": 0.6666666666666666, "ud.noun": 0.3333333333333333}
still	{"ud.adv": 1.0}
stipulation	{"ud.noun": 0.3333333333333333, "ud.x": 0.6666666666666666}
stock	{"ud.noun": 0.9523809523809523, "ud.verb": 0.047619047619047616}
stolen	{"ud.verb": 1.0}
stomach	{"ud.noun": 1.0}
stone	{"ud.propn": 0.4, "ud.noun": 0.6}
stones	{"ud.noun": 0.16666666666666666, "ud.propn": 0.8333333333333334}
stood	{"ud.verb": 1.0}
stop	{"ud.verb": 0.8421052631578947, "ud.noun": 0.15789473684210525}
stopped	{"ud.verb": 1.0}
stops	{"ud.noun": 0.6666666666666666, "ud.verb": 0.3333333333333333}
storage	{"ud.noun": 1.0}
store	{"ud.noun": 1.0}
stores	{"ud.verb": 0.125, "ud.noun": 0.875}
stories	{"ud.noun": 1.0}
storm	{"ud.noun": 0.6666666666666666, "ud.propn": 0.2222222222222222, "ud.verb": 0.1111111111111111}
story	{"ud.noun": 0.9444444444444444, "ud.propn": 0.05555555555555555}
stout	{"ud.propn": 1.0}
straight	{"ud.adj": 0.42857142857142855, "ud.adv": 0.5714285714285714}
strain	{"ud.noun": 0.9230769230769231, "ud.verb": 0.07692307692307693}
strait	{"ud.propn": 1.0}
strange	{"ud.adj": 1.0}
stranger	{"ud.noun": 1.0}
strategic	{"ud.adj": 0.6666666666666666, "ud.propn": 0.3333333333333333}
strategies	{"ud.noun": 1.0}
strategy	{"ud.noun": 0.9166666666666666, "ud.propn": 0.08333333333333333}
stream	{"ud.noun": 1.0}
streamside	{"ud.adj": 0.6666666666666666, "ud.noun": 0.3333333333333333}
street	{"ud.noun": 0.59375, "ud.propn": 0.40625}
streets	{"ud.noun": 1.0}
strength	{"ud.noun": 1.0}
strengthen	{"ud.verb": 1.0}
stress	{"ud.verb": 0.3333333333333333, "ud.noun": 0.6666666666666666}
stressed	{"ud.verb": 1.0}
stretch	{"ud.noun": 0.75, "ud.verb": 0.25}
strictly	{"ud.adv": 1.0}
strike	{"ud.verb": 0.42857142857142855, "ud.noun": 0.42857142857142855, "ud.propn": 0.14285714285714285}
strong	{"ud.adj": 1.0}
stronger	{"ud.adv": 0.25, "ud.adj": 0.75}
strongest	{"ud.adj": 1.0}
strongly	{"ud.adv": 1.0}
struck	{"ud.verb": 1.0}
structure	{"ud.noun": 0.8888888888888888, "ud.verb": 0.1111111111111111}
struggle	{"ud.noun": 1.0}
stuart	{"ud.propn": 1.0}
stuck	{"ud.adj": 0.5, "ud.verb": 0.5}
student	{"ud.noun": 0.9230769230769231, "ud.propn": 0.07692307692307693}
students	{"ud.noun": 1.0}
studies	{"ud.verb": 0.1111111111111111, "ud.noun": 0.7777777777777778, "ud.propn": 0.1111111111111111}
studio	{"ud.noun": 0.8333333333333334, "ud.propn": 0.16666666666666666}
study	{"ud.noun": 0.6, "ud.verb": 0.4}
studying	{"ud.verb": 1.0}
stuff	{"ud.noun": 0.9545454545454546, "ud.propn": 0.045454545454545456}
stupid	{"ud.adj": 1.0}
style	{"ud.noun": 0.875, "ud.verb": 0.125}
subject	{"ud.noun": 0.7272727272727273, "ud.adj": 0.2727272727272727}
submarine	{"ud.noun": 1.0}
submarines	{"ud.noun": 1.0}
submit	{"ud.verb": 1.0}
submitted	{"ud.verb": 1.0}
subpoenas	{"ud.noun": 1.0}
subsequent	{"ud.adj": 1.0}
substantial	{"ud.adj": 1.0}
substantially	{"ud.adv": 1.0}
substantiation	{"ud.noun": 1.0}
substantive	{"ud.adj": 1.0}
subtle	{"ud.adj": 1.0}
succeeded	{"ud.verb": 1.0}
success	{"ud.noun": 1.0}
successful	{"ud.adj": 1.0}
successfully	{"ud.adv": 1.0}
such	{"ud.det": 0.25, "ud.adj": 0.7291666666666666, "ud.adv": 0.020833333333333332}
suck	{"ud.verb": 1.0}
sucks	{"ud.verb": 1.0}
sudan	{"ud.propn": 1.0}
sudden	{"ud.adj": 0.5, "ud.adv": 0.5}
suddenly	{"ud.adv": 1.0}
sue	{"ud.propn": 1.0}
sufaat	{"ud.propn": 1.0}
suffer	{"ud.verb": 1.0}
suffered	{"ud.verb": 1.0}
suffering	{"ud.verb": 0.75, "ud.noun": 0.25}
sufficient	{"ud.adj": 1.0}
suggest	{"ud.verb": 1.0}
suggested	{"ud.verb": 1.0}
suggesting	{"ud.verb": 1.0}
suggestion	{"ud.noun": 1.0}
suggestions	{"ud.noun": 1.0}
suggests	{"ud.verb": 1.0}
suicide	{"ud.noun": 1.0}
suit	{"ud.noun": 0.75, "ud.verb": 0.25}
suitable	{"ud.adj": 1.0}
suite	{"ud.noun": 0.8888888888888888, "ud.propn": 0.1111111111111111}
sullivan	{"ud.propn": 1.0}
sum	{"ud.noun": 0.8, "ud.verb": 0.2}
summary	{"ud.noun": 1.0}
summer	{"ud.noun": 1.0}
sump	{"ud.noun": 1.0}
sun	{"ud.propn": 0.4090909090909091, "ud.noun": 0.5909090909090909}
sunburn	{"ud.propn": 1.0}
sunday	{"ud.propn": 0.96, "ud.noun": 0.04}
sunni	{"ud.adj": 1.0}
sunnis	{"ud.propn": 1.0}
sunny	{"ud.adj": 1.0}
super	{"ud.propn": 0.08333333333333333, "ud.adv": 0.9166666666666666}
superb	{"ud.adj": 1.0}
superfund	{"ud.propn": 1.0}
superior	{"ud.adj": 0.75, "ud.propn": 0.25}
supplied	{"ud.verb": 1.0}
supplier	{"ud.noun": 1.0}
supplies	{"ud.noun": 0.7777777777777778, "ud.verb": 0.2222222222222222}
supply	{"ud.noun": 0.6666666666666666, "ud.verb": 0.3333333333333333}
support	{"ud.verb": 0.28205128205128205, "ud.noun": 0.717948717948718}
supported	{"ud.verb": 1.0}
supporter	{"ud.noun": 1.0}
supporters	{"ud.noun": 1.0}
supporting	{"ud.verb": 1.0}
supports	{"ud.verb": 1.0}
suppose	{"ud.verb": 1.0}
supposed	{"ud.verb": 1.0}
supposedly	{"ud.adv": 1.0}
supreme	{"ud.propn": 0.7058823529411765, "ud.adj": 0.29411764705882354}
sure	{"ud.adj": 0.9327731092436975, "ud.adv": 0.04201680672268908, "ud.intj": 0.025210084033613446}
surface	{"ud.noun": 1.0}
surge	{"ud.noun": 1.0}
surgeon	{"ud.noun": 1.0}
surgeons	{"ud.noun": 1.0}
surgery	{"ud.noun": 1.0}
surplus	{"ud.noun": 1.0}
surprise	{"ud.verb": 0.14285714285714285, "ud.noun": 0.8571428571428571}
surprised	{"ud.adj": 0.7272727272727273, "ud.verb": 0.2727272727272727}
surprisingly	{"ud.adv": 1.0}
surrender	{"ud.verb": 0.6666666666666666, "ud.noun": 0.3333333333333333}
surrounded	{"ud.verb": 1.0}
surrounding	{"ud.verb": 1.0}
surveillance	{"ud.noun": 1.0}
survived	{"ud.verb": 1.0}
survivors	{"ud.propn": 0.3333333333333333, "ud.noun": 0.6666666666666666}
susan	{"ud.propn": 0.9285714285714286, "ud.x": 0.07142857142857142}
sushi	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
suspect	{"ud.verb": 0.5, "ud.noun": 0.375, "ud.adj": 0.125}
suspected	{"ud.verb": 1.0}
suspicion	{"ud.noun": 1.0}
suspicious	{"ud.adj": 1.0}
sussex	{"ud.noun": 0.8888888888888888, "ud.propn": 0.1111111111111111}
suv	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
swap	{"ud.noun": 1.0}
sweden	{"ud.propn": 1.0}
sweet	{"ud.adj": 1.0}
swg	{"ud.propn": 1.0}
swift	{"ud.propn": 1.0}
swing	{"ud.noun": 1.0}
switch	{"ud.verb": 0.4, "ud.noun": 0.6}
switched	{"ud.verb": 1.0}
switzerland	{"ud.propn": 1.0}
sympathizers	{"ud.noun": 1.0}
sympathy	{"ud.noun": 0.8333333333333334, "ud.propn": 0.16666666666666666}
symptoms	{"ud.noun": 1.0}
syria	{"ud.propn": 1.0}
syrian	{"ud.adj": 1.0}
system	{"ud.noun": 0.9622641509433962, "ud.propn": 0.03773584905660377}
systems	{"ud.noun": 0.8461538461538461, "ud.propn": 0.15384615384615385}
t	{"ud.noun": 0.14285714285714285, "ud.x": 0.2857142857142857, "ud.num": 0.2857142857142857, "ud.propn": 0.2857142857142857}
t.	{"ud.propn": 0.6666666666666666, "ud.adp": 0.3333333333333333}
